,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
30,0.2,1.3333333333333333,15000,1,15000-0,11.638519862976109,45752.413537005654,0,Bernoulli,0.11104524034239543,SNIPE(1),11.265199431443662,-0.37332043153244676,0.13936814459957228,-0.03207628082674288
31,0.2,1.3333333333333333,15000,1,15000-0,11.638519862976109,45752.413537005654,0,Bernoulli,0.11104524034239543,LS-Prop,10.620748822995637,-1.017771039980472,1.0358578898229316,-0.08744849447893761
32,0.2,1.3333333333333333,15000,1,15000-0,11.638519862976109,45752.413537005654,0,Bernoulli,0.11104524034239543,LS-Num,12.690115259563012,1.0515953965869027,1.1058528781227652,0.09035473659603285
33,0.2,1.3333333333333333,15000,1,15000-0,11.638519862976109,45752.413537005654,0,Bernoulli,0.11104524034239543,DM,5.059370999011607,-6.579148863964502,43.285199774205395,-0.5652908566916459
34,0.2,1.3333333333333333,15000,1,15000-0,11.638519862976109,45752.413537005654,0,Bernoulli,0.11104524034239543,DM($0.75$),6.0844140745451645,-5.554105788430944,30.848091109082123,-0.4772175374378485
35,0.2,2.0,15000,1,15000-0,14.911148902462191,62560.09330916234,0,Bernoulli,0.19856991526905735,SNIPE(1),15.943580694766911,1.0324317923047204,1.0659154057615372,0.06923891640128689
36,0.2,2.0,15000,1,15000-0,14.911148902462191,62560.09330916234,0,Bernoulli,0.19856991526905735,LS-Prop,13.363686225207179,-1.5474626772550124,2.3946407374972507,-0.10377890311319263
37,0.2,2.0,15000,1,15000-0,14.911148902462191,62560.09330916234,0,Bernoulli,0.19856991526905735,LS-Num,16.60816454551769,1.6970156430554972,2.879862092775063,0.11380851027349602
38,0.2,2.0,15000,1,15000-0,14.911148902462191,62560.09330916234,0,Bernoulli,0.19856991526905735,DM,5.015604104588679,-9.895544797873512,97.92180684672154,-0.6636339602402817
39,0.2,2.0,15000,1,15000-0,14.911148902462191,62560.09330916234,0,Bernoulli,0.19856991526905735,DM($0.75$),4.433149137208052,-10.47799976525414,109.78847908066581,-0.7026956697832968
40,0.2,3.0,15000,1,15000-0,19.86486279938224,123318.59893842509,0,Bernoulli,0.27561261050642455,SNIPE(1),18.99835552791288,-0.8665072714693594,0.750834851509274,-0.04362009847338619
41,0.2,3.0,15000,1,15000-0,19.86486279938224,123318.59893842509,0,Bernoulli,0.27561261050642455,LS-Prop,16.889428608890338,-2.975434190491903,8.853208621948207,-0.14978377754436006
42,0.2,3.0,15000,1,15000-0,19.86486279938224,123318.59893842509,0,Bernoulli,0.27561261050642455,LS-Num,22.134077687370006,2.269214887987765,5.149336207865325,0.11423259807554942
43,0.2,3.0,15000,1,15000-0,19.86486279938224,123318.59893842509,0,Bernoulli,0.27561261050642455,DM,4.805626117591407,-15.059236681790834,226.7806094381946,-0.7580841022601549
44,0.2,3.0,15000,1,15000-0,19.86486279938224,123318.59893842509,0,Bernoulli,0.27561261050642455,DM($0.75$),6.109710607775598,-13.755152191606644,189.20421181426107,-0.6924363047719818
45,0.2,4.0,15000,1,15000-0,24.949384437668076,222301.1614315998,0,Bernoulli,0.4718800812127199,SNIPE(1),25.239579212352083,0.29019477468400723,0.08421300725390173,0.011631340060072866
46,0.2,4.0,15000,1,15000-0,24.949384437668076,222301.1614315998,0,Bernoulli,0.4718800812127199,LS-Prop,21.35015255699371,-3.599231880674367,12.95447013086274,-0.14426135000109738
47,0.2,4.0,15000,1,15000-0,24.949384437668076,222301.1614315998,0,Bernoulli,0.4718800812127199,LS-Num,27.64808366716491,2.6986992294968353,7.282977531286813,0.10816696645318406
48,0.2,4.0,15000,1,15000-0,24.949384437668076,222301.1614315998,0,Bernoulli,0.4718800812127199,DM,4.955101090763001,-19.994283346905075,399.7713665563256,-0.8013938538987804
49,0.2,4.0,15000,1,15000-0,24.949384437668076,222301.1614315998,0,Bernoulli,0.4718800812127199,DM($0.75$),4.828762650415969,-20.120621787252105,404.8394211056441,-0.8064576437755473
