,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
47,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,1,Bernoulli,591.0669713980765,LS-Num,16.745847357032613,1.6959206870817223,2.876146976871741,0.11268630899496976
48,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,1,Bernoulli,591.0669713980765,DM,5.111261891166392,-9.9386647787845,98.77705758505154,-0.6603796149138932
49,0.2,2,15000,1,15000-0,15.04992666995089,57935.90898665227,1,Bernoulli,591.0669713980765,DM($0.75$),5.453736312216636,-9.596190357734255,92.08686938187188,-0.6376237285523976
50,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,0,Bernoulli,1103.249773818503,SNIPE(1),15.851391028126605,0.808323984282417,0.6533876635662011,0.053733988017635896
51,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,0,Bernoulli,1103.249773818503,LS-Prop,13.590670820187704,-1.4523962236564838,2.1094547904916148,-0.0965492089760261
52,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,0,Bernoulli,1103.249773818503,LS-Num,16.69249138851727,1.649424344673081,2.7206006688002224,0.10964681204076972
53,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,0,Bernoulli,1103.249773818503,DM,5.156879864208556,-9.88618717963563,97.7366969507919,-0.6571922567932171
54,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,0,Bernoulli,1103.249773818503,DM($0.75$),6.912861856756098,-8.13020518708809,66.10023638415407,-0.5404619392702282
55,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,1,Bernoulli,1244.1089042745252,SNIPE(1),14.467059976121153,-0.5760070677230349,0.3317841420668889,-0.0382905338415509
56,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,1,Bernoulli,1244.1089042745252,LS-Prop,13.084699166208145,-1.958367877636043,3.835204744156699,-0.13018408227047235
57,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,1,Bernoulli,1244.1089042745252,LS-Num,16.477765548744078,1.43469850489989,2.0583597999619796,0.09537273886491031
58,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,1,Bernoulli,1244.1089042745252,DM,5.020296780545648,-10.02277026329854,100.45592375086149,-0.6662717273070975
59,0.2,2,15000,1,15000-1,15.043067043844188,98118.67029633587,1,Bernoulli,1244.1089042745252,DM($0.75$),4.792840735219558,-10.25022630862463,105.0671393780205,-0.6813920511521718
60,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,0,Bernoulli,2917.605130026013,SNIPE(1),15.68969106348551,0.6525853786262612,0.4258676763967807,0.04339833690757022
61,0.2,2,20000,1,20000-0,15.037105684859249,146755.20511971932,0,Bernoulli,2917.605130026013,LS-Prop,13.09125405805025,-1.9458516268089987,3.7863385535552267,-0.12940333516231534
