,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
20,0.15,2,15000,1,15000-0,14.90440334004984,54326.18785124814,0,Bernoulli,0.1506677119942069,SNIPE(1),13.32155040812456,-1.582852931925279,2.505423404104452,-0.10620035541254925
21,0.15,2,15000,1,15000-0,14.90440334004984,54326.18785124814,0,Bernoulli,0.1506677119942069,LS-Prop,13.219042648376465,-1.6853606916733739,2.840440661037753,-0.11307803829654936
22,0.15,2,15000,1,15000-0,14.90440334004984,54326.18785124814,0,Bernoulli,0.1506677119942069,LS-Num,15.873110628664516,0.9687072886146773,0.9383938110151996,0.06499470435100543
23,0.15,2,15000,1,15000-0,14.90440334004984,54326.18785124814,0,Bernoulli,0.1506677119942069,DM,4.973313432769006,-9.931089907280834,98.62654674649524,-0.666319186397409
24,0.15,2,15000,1,15000-0,14.90440334004984,54326.18785124814,0,Bernoulli,0.1506677119942069,DM($0.75$),-1.675050955363159,-16.579454295412997,274.8783047336885,-1.112386314107731
25,0.2,2,15000,1,15000-0,15.038116230139886,78899.23468624262,0,Bernoulli,0.15545967603497882,SNIPE(1),12.923530458651953,-2.114585771487933,4.471472984979217,-0.14061507034038018
26,0.2,2,15000,1,15000-0,15.038116230139886,78899.23468624262,0,Bernoulli,0.15545967603497882,LS-Prop,13.105622205630974,-1.9324940245089124,3.734533154762653,-0.12850638969233025
27,0.2,2,15000,1,15000-0,15.038116230139886,78899.23468624262,0,Bernoulli,0.15545967603497882,LS-Num,16.493257926566464,1.455141696426578,2.1174373566792193,0.09676356228116759
28,0.2,2,15000,1,15000-0,15.038116230139886,78899.23468624262,0,Bernoulli,0.15545967603497882,DM,4.887400412208098,-10.150715817931788,103.0370316164106,-0.6749991596412448
29,0.2,2,15000,1,15000-0,15.038116230139886,78899.23468624262,0,Bernoulli,0.15545967603497882,DM($0.75$),5.278074044269597,-9.76004218587029,95.25842346996771,-0.6490202653380809
30,0.25,2,15000,1,15000-0,15.032125315032623,42092.04344218346,0,Bernoulli,0.1925005984115435,SNIPE(1),15.262384130681514,0.2302588156488916,0.05301912218403025,0.015317781805519222
31,0.25,2,15000,1,15000-0,15.032125315032623,42092.04344218346,0,Bernoulli,0.1925005984115435,LS-Prop,13.206964066355036,-1.8251612486775866,3.331213583674327,-0.12141737847624014
32,0.25,2,15000,1,15000-0,15.032125315032623,42092.04344218346,0,Bernoulli,0.1925005984115435,LS-Num,16.795184950314873,1.76305963528225,3.1083792775615806,0.11728611878448965
33,0.25,2,15000,1,15000-0,15.032125315032623,42092.04344218346,0,Bernoulli,0.1925005984115435,DM,5.053845799570642,-9.978279515461981,99.56606208868818,-0.6637969885391636
34,0.25,2,15000,1,15000-0,15.032125315032623,42092.04344218346,0,Bernoulli,0.1925005984115435,DM($0.75$),8.331742827450142,-6.7003824875824805,44.89512547990199,-0.4457375352560344
35,0.3,2,15000,1,15000-0,14.974338973386942,37216.098043687874,0,Bernoulli,0.19132016075878683,SNIPE(1),12.546412895614786,-2.427926077772156,5.8948250391260855,-0.16213911559549798
36,0.3,2,15000,1,15000-0,14.974338973386942,37216.098043687874,0,Bernoulli,0.19132016075878683,LS-Prop,13.436454770894926,-1.537884202492016,2.3650878202745043,-0.10270130823305201
37,0.3,2,15000,1,15000-0,14.974338973386942,37216.098043687874,0,Bernoulli,0.19132016075878683,LS-Num,17.186326936787616,2.2119879634006736,4.892890750229459,0.14771857157313698
38,0.3,2,15000,1,15000-0,14.974338973386942,37216.098043687874,0,Bernoulli,0.19132016075878683,DM,4.956121585111809,-10.018217388275133,100.36467963873822,-0.6690256849454225
39,0.3,2,15000,1,15000-0,14.974338973386942,37216.098043687874,0,Bernoulli,0.19132016075878683,DM($0.75$),6.737335144161514,-8.23700382922543,67.84823208267439,-0.5500746205802204
40,0.4,2,15000,1,15000-0,15.003813520169533,69338.79079857658,0,Bernoulli,0.2543679114572026,SNIPE(1),14.131439300789793,-0.8723742193797399,0.7610367786384106,-0.05814349919818802
41,0.4,2,15000,1,15000-0,15.003813520169533,69338.79079857658,0,Bernoulli,0.2543679114572026,LS-Prop,13.393310365474637,-1.6105031546948965,2.5937204112822134,-0.10733958753418969
42,0.4,2,15000,1,15000-0,15.003813520169533,69338.79079857658,0,Bernoulli,0.2543679114572026,LS-Num,18.076114063004688,3.072300542835155,9.439030625505188,0.20476797706830202
